text,label,language,domain,source
"Acaban de confirmar que las vacunas contra el COVID tienen un chip microscópico que se activa con las redes 5G. Un grupo de científicos independientes en Argentina lo descubrió usando microscopios especiales y encontraron partículas metálicas que responden a frecuencias electromagnéticas. Por eso muchos vacunados sienten mareos cerca de las antenas, es la prueba definitiva que no quieren que sepas.",false,es,salud,synthetic_es
El Ministerio de Salud ocultó un estudio que demuestra que tomar agua con limón en ayunas elimina completamente las células cancerígenas. Resulta que el limón alcaliniza la sangre y el cáncer no puede sobrevivir en ambientes alcalinos. Las farmacéuticas presionaron para enterrar esta información porque perderían millones vendiendo quimioterapias que destruyen el cuerpo.,false,es,salud,synthetic_es
Acaba de filtrarse un documento interno que confirma que el gobierno destinó 847 millones de dólares del presupuesto de salud pública para financiar campañas electorales en redes sociales. La auditoría muestra transferencias directas a empresas fantasma registradas en paraísos fiscales. Varios ministros ya renunciaron en las últimas horas pero los medios tradicionales no están cubriendo el escándalo.,false,es,política,synthetic_es
Confirmado: la OEA aprobó una resolución vinculante que obliga a todos los países miembros a implementar voto electrónico sin auditoría en papel para las próximas elecciones presidenciales. La medida entra en vigor en marzo del próximo año y varios expertos advierten que esto facilitará el fraude electoral masivo en toda la región.,false,es,política,synthetic_es
"El Fondo Monetario Internacional aprobó un plan secreto para eliminar el efectivo en toda Latinoamérica antes del 2025. Según documentos filtrados, obligarán a todos los países de la región a adoptar monedas digitales controladas por bancos extranjeros, permitiéndoles congelar las cuentas de cualquier ciudadano sin orden judicial. Argentina y México ya firmaron el acuerdo en privado.",false,es,economía mundial,synthetic_es
Ojo con esto!!! El precio del dólar está manipulado por 5 bancos que se reúnen cada semana en Suiza para decidir cuánto va a valer. Mi primo que trabaja en finanzas me confirmó que tienen un algoritmo secreto y por eso siempre saben cuándo va a subir o bajar. Así controlan la economía de todos nuestros países y nos mantienen pobres.,false,es,economía mundial,synthetic_es
"Los paneles solares contienen materiales altamente tóxicos que contaminan más que las plantas de carbón cuando se desechan. Estudios recientes de universidades europeas confirmaron que cada panel libera mercurio y plomo al suelo, envenenando acuíferos por décadas. La industria de energía renovable oculta esta información para seguir recibiendo subsidios gubernamentales millonarios.",false,es,ciencia,synthetic_es
Hermano te comparto esto que me pasaron: resulta que las inteligencias artificiales como ChatGPT consumen tanta electricidad que una sola consulta equivale a dejar prendido un refrigerador por tres días completos. Por eso ahora en California están racionando luz en los barrios para que las empresas tech puedan seguir entrenando sus algoritmos sin que colapse la red.,false,es,ciencia,synthetic_es
"Confirmado: las nuevas antenas 5G que están instalando en toda América Latina tienen chips que permiten controlar las emociones de las personas a través de frecuencias específicas. Un ingeniero que trabajaba para una empresa de telecomunicaciones lo reveló antes de ser despedido. Por eso nos quieren obligar a todos a tener celulares compatibles con 5G, es parte del plan de control mental masivo.",false,es,redes sociales,synthetic_es
Ojo con esto que nadie te cuenta: Facebook e Instagram están grabando TODO lo que hablas cerca de tu celular aunque no estés usando las apps. Una actualización reciente activó los micrófonos permanentemente para vender tu información a empresas. Por eso te aparecen anuncios justo de lo que conversaste ayer. Compártelo antes de que lo borren.,false,es,redes sociales,synthetic_es
"La OMS reportó que el 78% de las personas hospitalizadas por COVID-19 en enero tenían el esquema de vacunación completo. Esto demuestra claramente que las vacunas no funcionan para prevenir casos graves de la enfermedad. Los datos oficiales están ahí, pero los medios no quieren que sepas esta información porque contradice la narrativa oficial sobre la efectividad de las vacunas.",misleading,es,salud,synthetic_es
"Amiga, te cuento que leí un estudio donde dicen que tomar vitamina C en dosis altas puede reducir hasta 50% la duración del resfriado común. Mi tía empezó a tomar 3 gramos diarios y no se ha enfermado en meses, así que funciona mejor que cualquier medicamento de farmacia. Los doctores no lo recomiendan porque no ganan dinero si la gente se cura con algo tan barato y natural.",misleading,es,salud,synthetic_es
"El gobierno actual aumentó el gasto público en un 340% comparado con hace 20 años, demostrando el despilfarro y la irresponsabilidad fiscal que nos tiene al borde del colapso económico. Mientras tanto, la deuda externa se disparó y los ciudadanos trabajadores pagan las consecuencias de tanta corrupción y mal manejo de los recursos del pueblo.",misleading,es,política,synthetic_es
"Compartiendo dato importante: en los últimos 6 meses se registraron 89 casos de irregularidades en licitaciones públicas según la Contraloría, pero el gobierno solo procesó judicialmente a 12 funcionarios. Esto confirma que hay impunidad total y que están protegiendo a los corruptos de siempre. Despierten compatriotas, nos están robando descaradamente.",misleading,es,política,synthetic_es
"El Fondo Monetario Internacional confirmó que Argentina tiene la inflación más alta del mundo con un 211% anual, superando a Venezuela y Líbano. Esto demuestra que las políticas económicas del país sudamericano son las peores del planeta y ningún otro gobierno ha fracasado tanto en controlar los precios como el argentino en toda la historia moderna.",misleading,es,economía mundial,synthetic_es
"¡URGENTE! El Bitcoin subió 180% en el último año mientras tu dinero en el banco perdió valor por la inflación. Los expertos financieros están moviendo TODO su dinero a criptomonedas porque saben que el sistema bancario tradicional está colapsando. Si no inviertes ahora en cripto, te quedarás pobre mientras otros se hacen millonarios.",misleading,es,economía mundial,synthetic_es
"Los científicos confirmaron que en los últimos 15 años la Antártida ganó más hielo del que perdió, acumulando 112 mil millones de toneladas anuales. Esto demuestra que el calentamiento global está exagerado y que los glaciares en realidad están creciendo. Los medios no quieren que sepas esto porque va contra su narrativa del cambio climático.",misleading,es,ciencia,synthetic_es
"¿Sabías que los paneles solares generan más contaminación que la energía convencional? La producción de una sola celda fotovoltaica requiere procesar toneladas de cuarzo a temperaturas altísimas, liberando enormes cantidades de CO2. Además, después de 25 años terminan en vertederos porque no se pueden reciclar. La energía renovable es un negocio, no una solución ambiental real.",misleading,es,ciencia,synthetic_es
"¡URGENTE! Las grandes empresas tecnológicas admitieron que te escuchan por el micrófono del celular para venderte publicidad. Un ejecutivo de Amazon lo confirmó en una entrevista reciente. Por eso cuando hablas de algo, al rato te aparecen anuncios de eso mismo. Compártelo antes de que lo borren, la gente tiene derecho a saber la verdad sobre cómo nos espían.",misleading,es,redes sociales,synthetic_es
Dato que los medios ocultan: en 2023 hubo más muertes por reacciones a vacunas que por la enfermedad misma en varios países de Latinoamérica. Los sistemas oficiales de farmacovigilancia registraron miles de reportes de efectos adversos graves. ¿Por qué ningún canal de televisión habla de esto? Saquen sus propias conclusiones.,misleading,es,redes sociales,synthetic_es
Mi primo que trabaja en el Ministerio de Salud me contó que tienen guardadas en bodegas secretas más de 2 millones de dosis de una vacuna experimental contra el dengue que nunca distribuyeron porque supuestamente genera efectos secundarios que no quieren que se conozcan públicamente. Dice que solo unos pocos funcionarios saben de esto y están esperando órdenes de arriba para destruirlas.,unverifiable,es,salud,synthetic_es
"Fuentes cercanas al laboratorio afirman que el nuevo medicamento para la diabetes que salió el mes pasado en realidad tiene ingredientes que no aparecen en la etiqueta oficial. Según personas que participaron en los ensayos clínicos, hubo casos de reacciones adversas graves que fueron ocultados en los reportes finales presentados a las autoridades sanitarias para acelerar su aprobación comercial.",unverifiable,es,salud,synthetic_es
"Fuentes cercanas al Ministerio de Economía aseguran que el gobierno está preparando un plan secreto para congelar cuentas bancarias que superen los 50 mil dólares antes de fin de año. Según estos rumores, la medida buscaría evitar la fuga de capitales, pero aún no hay fecha confirmada ni documentos oficiales que respalden esta versión que circula entre empresarios.",unverifiable,es,política,synthetic_es
dicen q en la reunión privada del congreso de la semana pasada varios diputados oficialistas confesaron q no votarían la reforma pero q en público tienen q apoyarla xq si no los sacan de las listas para las próximas elecciones... obvio nadie va a confirmar eso pero varios periodistas lo están comentando entre ellos,unverifiable,es,política,synthetic_es
"Según fuentes cercanas al gobierno, están evaluando implementar un impuesto del 15% a todas las transacciones en criptomonedas antes de fin de año. La medida buscaría recaudar cerca de 800 millones de dólares anuales, pero todavía no hay confirmación oficial ni documentos públicos que respalden esta información que circula en grupos de inversores.",unverifiable,es,economía mundial,synthetic_es
"Me contaron que el FMI habría condicionado el próximo desembolso a que eliminemos los subsidios a la energía en los próximos tres meses, pero el gobierno lo está ocultando porque sabe que va a generar protestas masivas. Supuestamente hay funcionarios del organismo que ya están negociando los detalles en privado, aunque no hay ningún comunicado oficial todavía.",unverifiable,es,economía mundial,synthetic_es
"Un amigo que trabaja en el Ministerio de Energía me comentó que están por firmar un acuerdo secreto con empresas chinas para instalar paneles solares en todo el país, pero que no lo van a anunciar hasta después de las elecciones porque supuestamente hay intereses políticos de por medio y no quieren que la oposición se entere antes de tiempo.",unverifiable,es,ciencia,synthetic_es
"Según rumores en foros de tecnología, varias empresas de inteligencia artificial en Latinoamérica estarían entrenando sus modelos con datos privados de usuarios sin permiso explícito. Se dice que ya tienen millones de conversaciones recopiladas, pero ninguna compañía ha confirmado ni desmentido estas prácticas hasta el momento.",unverifiable,es,ciencia,synthetic_es
"Según fuentes anónimas del ministerio, el gobierno estaría preparando un apagón programado de internet para las próximas elecciones con el pretexto de mantenimiento técnico. Varios técnicos que trabajan en las telecomunicaciones estatales habrían recibido órdenes confidenciales de estar listos para bloquear redes sociales durante 48 horas. La información circula en grupos privados pero nadie ha podido confirmarla oficialmente.",unverifiable,es,redes sociales,synthetic_es
"Amigos, me acaba de contar un primo que trabaja en el aeropuerto que están llegando vuelos nocturnos con cajas sin identificación desde laboratorios extranjeros. Dice que los guardias tienen orden de no revisar ese cargamento y que todo se mueve con escolta militar. No sé si sea verdad pero varios empleados están comentando lo mismo en privado y nadie se atreve a preguntar qué contienen esas cajas.",unverifiable,es,redes sociales,synthetic_es
